order_no,bot_name,username,telegram_id,item_count,amount,status,created_at
ORD2026020700000091,主站 Bot,user_100090,100000090,3,38.3,refunded,2026-02-07 18:30:30
ORD2026020800000092,主站 Bot,user_100091,100000091,4,38.67,cancelled,2026-02-08 19:37:41
ORD2026020900000093,主站 Bot,user_100092,100000092,5,39.04,completed,2026-02-09 20:44:52
ORD2026011000000094,主站 Bot,user_100093,100000093,6,39.41,pending,2026-01-10 21:51:03
ORD2026011100000095,主站 Bot,user_100094,100000094,7,39.78,refunded,2026-01-11 22:58:14
ORD2026011200000096,主站 Bot,user_100095,100000095,8,40.15,cancelled,2026-01-12 23:05:25
ORD2026011300000097,主站 Bot,user_100096,100000096,1,40.52,completed,2026-01-13 00:12:36
ORD2026011400000098,主站 Bot,user_100097,100000097,2,40.89,pending,2026-01-14 01:19:47
ORD2026011500000099,主站 Bot,user_100098,100000098,3,41.26,refunded,2026-01-15 02:26:58
ORD2026011600000100,主站 Bot,user_100099,100000099,4,41.63,cancelled,2026-01-16 03:33:09
ORD2026011700000101,主站 Bot,user_100100,100000100,5,42.0,completed,2026-01-17 04:40:20
ORD2026011800000102,主站 Bot,user_100101,100000101,6,42.37,pending,2026-01-18 05:47:31
ORD2026011900000103,主站 Bot,user_100102,100000102,7,42.74,refunded,2026-01-19 06:54:42
ORD2026012000000104,主站 Bot,user_100103,100000103,8,43.11,cancelled,2026-01-20 07:01:53
ORD2026012100000105,主站 Bot,user_100104,100000104,1,43.48,completed,2026-01-21 08:08:04
ORD2026012200000106,主站 Bot,user_100105,100000105,2,43.85,pending,2026-01-22 09:15:15
ORD2026012300000107,主站 Bot,user_100106,100000106,3,44.22,refunded,2026-01-23 10:22:26
ORD2026012400000108,主站 Bot,user_100107,100000107,4,44.59,cancelled,2026-01-24 11:29:37
ORD2026012500000109,主站 Bot,user_100108,100000108,5,44.96,completed,2026-01-25 12:36:48
ORD2026012600000110,主站 Bot,user_100109,100000109,6,45.33,pending,2026-01-26 13:43:59
ORD2026012700000111,主站 Bot,user_100110,100000110,7,45.7,refunded,2026-01-27 14:50:10
ORD2026012800000112,主站 Bot,user_100111,100000111,8,46.07,cancelled,2026-01-28 15:57:21
ORD2026012900000113,主站 Bot,user_100112,100000112,1,46.44,completed,2026-01-29 16:04:32
ORD2026013000000114,主站 Bot,user_100113,100000113,2,46.81,pending,2026-01-30 17:11:43
ORD2026013100000115,主站 Bot,user_100114,100000114,3,47.18,refunded,2026-01-31 18:18:54
ORD2026020100000116,主站 Bot,user_100115,100000115,4,47.55,cancelled,2026-02-01 19:25:05
ORD2026020200000117,主站 Bot,user_100116,100000116,5,47.92,completed,2026-02-02 20:32:16
ORD2026020300000118,主站 Bot,user_100117,100000117,6,48.29,pending,2026-02-03 21:39:27
ORD2026020400000119,主站 Bot,user_100118,100000118,7,48.66,refunded,2026-02-04 22:46:38
ORD2026020500000120,主站 Bot,user_100119,100000119,8,49.03,cancelled,2026-02-05 23:53:49
ORD2026020600000121,主站 Bot,user_100120,100000120,1,49.4,completed,2026-02-06 00:00:00
ORD2026020700000122,主站 Bot,user_100121,100000121,2,49.77,pending,2026-02-07 01:07:11
ORD2026020800000123,主站 Bot,user_100122,100000122,3,50.14,refunded,2026-02-08 02:14:22
ORD2026020900000124,主站 Bot,user_100123,100000123,4,50.51,cancelled,2026-02-09 03:21:33
ORD2026011000000125,主站 Bot,user_100124,100000124,5,50.88,completed,2026-01-10 04:28:44
ORD2026011100000126,主站 Bot,user_100125,100000125,6,51.25,pending,2026-01-11 05:35:55
ORD2026011200000127,主站 Bot,user_100126,100000126,7,51.62,refunded,2026-01-12 06:42:06
ORD2026011300000128,主站 Bot,user_100127,100000127,8,51.99,cancelled,2026-01-13 07:49:17
ORD2026011400000129,主站 Bot,user_100128,100000128,1,52.36,completed,2026-01-14 08:56:28
ORD2026011500000130,主站 Bot,user_100129,100000129,2,52.73,pending,2026-01-15 09:03:39
ORD2026011600000131,主站 Bot,user_100130,100000130,3,53.1,refunded,2026-01-16 10:10:50
ORD2026011700000132,主站 Bot,user_100131,100000131,4,53.47,cancelled,2026-01-17 11:17:01
ORD2026011800000133,主站 Bot,user_100132,100000132,5,53.84,completed,2026-01-18 12:24:12
ORD2026011900000134,主站 Bot,user_100133,100000133,6,54.21,pending,2026-01-19 13:31:23
ORD2026012000000135,主站 Bot,user_100134,100000134,7,54.58,refunded,2026-01-20 14:38:34
ORD2026012100000136,主站 Bot,user_100135,100000135,8,54.95,cancelled,2026-01-21 15:45:45
ORD2026012200000137,主站 Bot,user_100136,100000136,1,55.32,completed,2026-01-22 16:52:56
ORD2026012300000138,主站 Bot,user_100137,100000137,2,55.69,pending,2026-01-23 17:59:07
ORD2026012400000139,主站 Bot,user_100138,100000138,3,56.06,refunded,2026-01-24 18:06:18
ORD2026012500000140,主站 Bot,user_100139,100000139,4,56.43,cancelled,2026-01-25 19:13:29
ORD2026012600000141,主站 Bot,user_100140,100000140,5,56.8,completed,2026-01-26 20:20:40
ORD2026012700000142,主站 Bot,user_100141,100000141,6,57.17,pending,2026-01-27 21:27:51
ORD2026012800000143,主站 Bot,user_100142,100000142,7,57.54,refunded,2026-01-28 22:34:02
ORD2026012900000144,主站 Bot,user_100143,100000143,8,57.91,cancelled,2026-01-29 23:41:13
ORD2026013000000145,主站 Bot,user_100144,100000144,1,58.28,completed,2026-01-30 00:48:24
ORD2026013100000146,主站 Bot,user_100145,100000145,2,58.65,pending,2026-01-31 01:55:35
ORD2026020100000147,主站 Bot,user_100146,100000146,3,59.02,refunded,2026-02-01 02:02:46
ORD2026020200000148,主站 Bot,user_100147,100000147,4,59.39,cancelled,2026-02-02 03:09:57
ORD2026020300000149,主站 Bot,user_100148,100000148,5,59.76,completed,2026-02-03 04:16:08
ORD2026020400000150,主站 Bot,user_100149,100000149,6,60.13,pending,2026-02-04 05:23:19
ORD2026020500000151,主站 Bot,user_100150,100000150,7,60.5,refunded,2026-02-05 06:30:30
ORD2026020600000152,主站 Bot,user_100151,100000151,8,60.87,cancelled,2026-02-06 07:37:41
ORD2026020700000153,主站 Bot,user_100152,100000152,1,61.24,completed,2026-02-07 08:44:52
ORD2026020800000154,主站 Bot,user_100153,100000153,2,61.61,pending,2026-02-08 09:51:03
ORD2026020900000155,主站 Bot,user_100154,100000154,3,61.98,refunded,2026-02-09 10:58:14
ORD2026011000000156,主站 Bot,user_100155,100000155,4,62.35,cancelled,2026-01-10 11:05:25
ORD2026011100000157,主站 Bot,user_100156,100000156,5,62.72,completed,2026-01-11 12:12:36
ORD2026011200000158,主站 Bot,user_100157,100000157,6,63.09,pending,2026-01-12 13:19:47
ORD2026011300000159,主站 Bot,user_100158,100000158,7,63.46,refunded,2026-01-13 14:26:58
ORD2026011400000160,主站 Bot,user_100159,100000159,8,63.83,cancelled,2026-01-14 15:33:09
ORD2026011500000161,主站 Bot,user_100160,100000160,1,64.2,completed,2026-01-15 16:40:20
ORD2026011600000162,主站 Bot,user_100161,100000161,2,64.57,pending,2026-01-16 17:47:31
ORD2026011700000163,主站 Bot,user_100162,100000162,3,64.94,refunded,2026-01-17 18:54:42
ORD2026011800000164,主站 Bot,user_100163,100000163,4,65.31,cancelled,2026-01-18 19:01:53
ORD2026011900000165,主站 Bot,user_100164,100000164,5,65.68,completed,2026-01-19 20:08:04
ORD2026012000000166,主站 Bot,user_100165,100000165,6,66.05,pending,2026-01-20 21:15:15
ORD2026012100000167,主站 Bot,user_100166,100000166,7,66.42,refunded,2026-01-21 22:22:26
ORD2026012200000168,主站 Bot,user_100167,100000167,8,66.79,cancelled,2026-01-22 23:29:37
ORD2026012300000169,主站 Bot,user_100168,100000168,1,67.16,completed,2026-01-23 00:36:48
ORD2026012400000170,主站 Bot,user_100169,100000169,2,67.53,pending,2026-01-24 01:43:59
ORD2026012500000171,主站 Bot,user_100170,100000170,3,67.9,refunded,2026-01-25 02:50:10
ORD2026012600000172,主站 Bot,user_100171,100000171,4,68.27,cancelled,2026-01-26 03:57:21
ORD2026012700000173,主站 Bot,user_100172,100000172,5,68.64,completed,2026-01-27 04:04:32
ORD2026012800000174,主站 Bot,user_100173,100000173,6,69.01,pending,2026-01-28 05:11:43
ORD2026012900000175,主站 Bot,user_100174,100000174,7,69.38,refunded,2026-01-29 06:18:54
ORD2026013000000176,主站 Bot,user_100175,100000175,8,69.75,cancelled,2026-01-30 07:25:05
ORD2026013100000177,主站 Bot,user_100176,100000176,1,70.12,completed,2026-01-31 08:32:16
ORD2026020100000178,主站 Bot,user_100177,100000177,2,70.49,pending,2026-02-01 09:39:27
ORD2026020200000179,主站 Bot,user_100178,100000178,3,70.86,refunded,2026-02-02 10:46:38
ORD2026020300000180,主站 Bot,user_100179,100000179,4,71.23,cancelled,2026-02-03 11:53:49
ORD2026020400000181,主站 Bot,user_100180,100000180,5,71.6,completed,2026-02-04 12:00:00
ORD2026020500000182,主站 Bot,user_100181,100000181,6,71.97,pending,2026-02-05 13:07:11
ORD2026020600000183,主站 Bot,user_100182,100000182,7,72.34,refunded,2026-02-06 14:14:22
ORD2026020700000184,主站 Bot,user_100183,100000183,8,72.71,cancelled,2026-02-07 15:21:33
ORD2026020800000185,主站 Bot,user_100184,100000184,1,73.08,completed,2026-02-08 16:28:44
ORD2026020900000186,主站 Bot,user_100185,100000185,2,73.45,pending,2026-02-09 17:35:55
ORD2026011000000187,主站 Bot,user_100186,100000186,3,73.82,refunded,2026-01-10 18:42:06
ORD2026011100000188,主站 Bot,user_100187,100000187,4,74.19,cancelled,2026-01-11 19:49:17
ORD2026011200000189,主站 Bot,user_100188,100000188,5,74.56,completed,2026-01-12 20:56:28
ORD2026011300000190,主站 Bot,user_100189,100000189,6,74.93,pending,2026-01-13 21:03:39
ORD2026011400000191,主站 Bot,user_100190,100000190,7,75.3,refunded,2026-01-14 22:10:50
ORD2026011500000192,主站 Bot,user_100191,100000191,8,75.67,cancelled,2026-01-15 23:17:01
ORD2026011600000193,主站 Bot,user_100192,100000192,1,76.04,completed,2026-01-16 00:24:12
ORD2026011700000194,主站 Bot,user_100193,100000193,2,76.41,pending,2026-01-17 01:31:23
ORD2026011800000195,主站 Bot,user_100194,100000194,3,76.78,refunded,2026-01-18 02:38:34
ORD2026011900000196,主站 Bot,user_100195,100000195,4,77.15,cancelled,2026-01-19 03:45:45
ORD2026012000000197,主站 Bot,user_100196,100000196,5,77.52,completed,2026-01-20 04:52:56
ORD2026012100000198,主站 Bot,user_100197,100000197,6,77.89,pending,2026-01-21 05:59:07
ORD2026012200000199,主站 Bot,user_100198,100000198,7,78.26,refunded,2026-01-22 06:06:18
ORD2026012300000200,主站 Bot,user_100199,100000199,8,78.63,cancelled,2026-01-23 07:13:29
ORD2026012400000201,主站 Bot,user_100200,100000200,1,79.0,completed,2026-01-24 08:20:40
ORD2026012500000202,主站 Bot,user_100201,100000201,2,79.37,pending,2026-01-25 09:27:51
ORD2026012600000203,主站 Bot,user_100202,100000202,3,79.74,refunded,2026-01-26 10:34:02
ORD2026012700000204,主站 Bot,user_100203,100000203,4,80.11,cancelled,2026-01-27 11:41:13
ORD2026012800000205,主站 Bot,user_100204,100000204,5,80.48,completed,2026-01-28 12:48:24
ORD2026012900000206,主站 Bot,user_100205,100000205,6,80.85,pending,2026-01-29 13:55:35
ORD2026013000000207,主站 Bot,user_100206,100000206,7,81.22,refunded,2026-01-30 14:02:46
ORD2026013100000208,主站 Bot,user_100207,100000207,8,81.59,cancelled,2026-01-31 15:09:57
ORD2026020100000209,主站 Bot,user_100208,100000208,1,81.96,completed,2026-02-01 16:16:08
ORD2026020200000210,主站 Bot,user_100209,100000209,2,82.33,pending,2026-02-02 17:23:19
ORD2026020300000211,主站 Bot,user_100210,100000210,3,82.7,refunded,2026-02-03 18:30:30
ORD2026020400000212,主站 Bot,user_100211,100000211,4,83.07,cancelled,2026-02-04 19:37:41
ORD2026020500000213,主站 Bot,user_100212,100000212,5,83.44,completed,2026-02-05 20:44:52
ORD2026020600000214,主站 Bot,user_100213,100000213,6,83.81,pending,2026-02-06 21:51:03
ORD2026020700000215,主站 Bot,user_100214,100000214,7,84.18,refunded,2026-02-07 22:58:14
ORD2026020800000216,主站 Bot,user_100215,100000215,8,84.55,cancelled,2026-02-08 23:05:25
ORD2026020900000217,主站 Bot,user_100216,100000216,1,84.92,completed,2026-02-09 00:12:36
ORD2026011000000218,主站 Bot,user_100217,100000217,2,85.29,pending,2026-01-10 01:19:47
ORD2026011100000219,主站 Bot,user_100218,100000218,3,85.66,refunded,2026-01-11 02:26:58
ORD2026011200000220,主站 Bot,user_100219,100000219,4,86.03,cancelled,2026-01-12 03:33:09
ORD2026011300000221,主站 Bot,user_100220,100000220,5,86.4,completed,2026-01-13 04:40:20
ORD2026011400000222,主站 Bot,user_100221,100000221,6,86.77,pending,2026-01-14 05:47:31
ORD2026011500000223,主站 Bot,user_100222,100000222,7,87.14,refunded,2026-01-15 06:54:42
ORD2026011600000224,主站 Bot,user_100223,100000223,8,87.51,cancelled,2026-01-16 07:01:53
ORD2026011700000225,主站 Bot,user_100224,100000224,1,87.88,completed,2026-01-17 08:08:04
ORD2026011800000226,主站 Bot,user_100225,100000225,2,88.25,pending,2026-01-18 09:15:15
ORD2026011900000227,主站 Bot,user_100226,100000226,3,88.62,refunded,2026-01-19 10:22:26
ORD2026012000000228,主站 Bot,user_100227,100000227,4,88.99,cancelled,2026-01-20 11:29:37
ORD2026012100000229,主站 Bot,user_100228,100000228,5,89.36,completed,2026-01-21 12:36:48
ORD2026012200000230,主站 Bot,user_100229,100000229,6,89.73,pending,2026-01-22 13:43:59
ORD2026012300000231,主站 Bot,user_100230,100000230,7,90.1,refunded,2026-01-23 14:50:10
ORD2026012400000232,主站 Bot,user_100231,100000231,8,90.47,cancelled,2026-01-24 15:57:21
ORD2026012500000233,主站 Bot,user_100232,100000232,1,90.84,completed,2026-01-25 16:04:32
ORD2026012600000234,主站 Bot,user_100233,100000233,2,91.21,pending,2026-01-26 17:11:43
ORD2026012700000235,主站 Bot,user_100234,100000234,3,91.58,refunded,2026-01-27 18:18:54
ORD2026012800000236,主站 Bot,user_100235,100000235,4,91.95,cancelled,2026-01-28 19:25:05
ORD2026012900000237,主站 Bot,user_100236,100000236,5,92.32,completed,2026-01-29 20:32:16
ORD2026013000000238,主站 Bot,user_100237,100000237,6,92.69,pending,2026-01-30 21:39:27
ORD2026013100000239,主站 Bot,user_100238,100000238,7,93.06,refunded,2026-01-31 22:46:38
ORD2026020100000240,主站 Bot,user_100239,100000239,8,93.43,cancelled,2026-02-01 23:53:49
ORD2026020200000241,主站 Bot,user_100240,100000240,1,93.8,completed,2026-02-02 00:00:00
ORD2026020300000242,主站 Bot,user_100241,100000241,2,94.17,pending,2026-02-03 01:07:11
ORD2026020400000243,主站 Bot,user_100242,100000242,3,94.54,refunded,2026-02-04 02:14:22
ORD2026020500000244,主站 Bot,user_100243,100000243,4,94.91,cancelled,2026-02-05 03:21:33
ORD2026020600000245,主站 Bot,user_100244,100000244,5,95.28,completed,2026-02-06 04:28:44
ORD2026020700000246,主站 Bot,user_100245,100000245,6,95.65,pending,2026-02-07 05:35:55
ORD2026020800000247,主站 Bot,user_100246,100000246,7,96.02,refunded,2026-02-08 06:42:06
ORD2026020900000248,主站 Bot,user_100247,100000247,8,96.39,cancelled,2026-02-09 07:49:17
ORD2026011000000249,主站 Bot,user_100248,100000248,1,96.76,completed,2026-01-10 08:56:28
ORD2026011100000250,主站 Bot,user_100249,100000249,2,97.13,pending,2026-01-11 09:03:39
ORD2026011200000251,主站 Bot,user_100250,100000250,3,97.5,refunded,2026-01-12 10:10:50
ORD2026011300000252,主站 Bot,user_100251,100000251,4,97.87,cancelled,2026-01-13 11:17:01
ORD2026011400000253,主站 Bot,user_100252,100000252,5,98.24,completed,2026-01-14 12:24:12
ORD2026011500000254,主站 Bot,user_100253,100000253,6,98.61,pending,2026-01-15 13:31:23
ORD2026011600000255,主站 Bot,user_100254,100000254,7,98.98,refunded,2026-01-16 14:38:34
ORD2026011700000256,主站 Bot,user_100255,100000255,8,99.35,cancelled,2026-01-17 15:45:45
ORD2026011800000257,主站 Bot,user_100256,100000256,1,99.72,completed,2026-01-18 16:52:56
ORD2026011900000258,主站 Bot,user_100257,100000257,2,100.09,pending,2026-01-19 17:59:07
ORD2026012000000259,主站 Bot,user_100258,100000258,3,100.46,refunded,2026-01-20 18:06:18
ORD2026012100000260,主站 Bot,user_100259,100000259,4,100.83,cancelled,2026-01-21 19:13:29
ORD2026012200000261,主站 Bot,user_100260,100000260,5,101.2,completed,2026-01-22 20:20:40
ORD2026012300000262,主站 Bot,user_100261,100000261,6,101.57,pending,2026-01-23 21:27:51
ORD2026012400000263,主站 Bot,user_100262,100000262,7,101.94,refunded,2026-01-24 22:34:02
ORD2026012500000264,主站 Bot,user_100263,100000263,8,102.31,cancelled,2026-01-25 23:41:13
ORD2026012600000265,主站 Bot,user_100264,100000264,1,102.68,completed,2026-01-26 00:48:24
ORD2026012700000266,主站 Bot,user_100265,100000265,2,103.05,pending,2026-01-27 01:55:35
ORD2026012800000267,主站 Bot,user_100266,100000266,3,103.42,refunded,2026-01-28 02:02:46
ORD2026012900000268,主站 Bot,user_100267,100000267,4,103.79,cancelled,2026-01-29 03:09:57
ORD2026013000000269,主站 Bot,user_100268,100000268,5,104.16,completed,2026-01-30 04:16:08
ORD2026013100000270,主站 Bot,user_100269,100000269,6,104.53,pending,2026-01-31 05:23:19
ORD2026020100000271,主站 Bot,user_100270,100000270,7,104.9,refunded,2026-02-01 06:30:30
ORD2026020200000272,主站 Bot,user_100271,100000271,8,105.27,cancelled,2026-02-02 07:37:41
ORD2026020300000273,主站 Bot,user_100272,100000272,1,105.64,completed,2026-02-03 08:44:52
ORD2026020400000274,主站 Bot,user_100273,100000273,2,106.01,pending,2026-02-04 09:51:03
ORD2026020500000275,主站 Bot,user_100274,100000274,3,106.38,refunded,2026-02-05 10:58:14
ORD2026020600000276,主站 Bot,user_100275,100000275,4,106.75,cancelled,2026-02-06 11:05:25
ORD2026020700000277,主站 Bot,user_100276,100000276,5,107.12,completed,2026-02-07 12:12:36
ORD2026020800000278,主站 Bot,user_100277,100000277,6,107.49,pending,2026-02-08 13:19:47
ORD2026020900000279,主站 Bot,user_100278,100000278,7,107.86,refunded,2026-02-09 14:26:58
ORD2026011000000280,主站 Bot,user_100279,100000279,8,108.23,cancelled,2026-01-10 15:33:09
ORD2026011100000281,主站 Bot,user_100280,100000280,1,108.6,completed,2026-01-11 16:40:20
ORD2026011200000282,主站 Bot,user_100281,100000281,2,108.97,pending,2026-01-12 17:47:31
ORD2026011300000283,主站 Bot,user_100282,100000282,3,109.34,refunded,2026-01-13 18:54:42
ORD2026011400000284,主站 Bot,user_100283,100000283,4,109.71,cancelled,2026-01-14 19:01:53
ORD2026011500000285,主站 Bot,user_100284,100000284,5,110.08,completed,2026-01-15 20:08:04
